Index;Stressor;Compartment;Unit;GWP
986;Unused Domestic Extraction - Primary Crops - Tang. Mand Clement. Satsma;Unused;kt;0
987;Unused Domestic Extraction - Primary Crops - Berries nec;Unused;kt;0
988;Unused Domestic Extraction - Primary Crops - Citrus Fruit nec;Unused;kt;0
989;Unused Domestic Extraction - Primary Crops - Stone Fruit nec,;Unused;kt;0
990;Unused Domestic Extraction - Primary Crops - Almonds;Unused;kt;0
991;Unused Domestic Extraction - Primary Crops - Chestnuts;Unused;kt;0
992;Unused Domestic Extraction - Primary Crops - Hazelnuts;Unused;kt;0
993;Unused Domestic Extraction - Primary Crops - Pistachios;Unused;kt;0
994;Unused Domestic Extraction - Primary Crops - Walnuts;Unused;kt;0
995;Unused Domestic Extraction - Primary Crops - Cassava;Unused;kt;0
996;Unused Domestic Extraction - Primary Crops - Roots and Tubers, nes;Unused;kt;0
997;Unused Domestic Extraction - Primary Crops - Taro;Unused;kt;0
998;Unused Domestic Extraction - Primary Crops - Yautia;Unused;kt;0
999;Unused Domestic Extraction - Primary Crops - Bambara beans;Unused;kt;0
1000;Unused Domestic Extraction - Primary Crops - Beans, dry;Unused;kt;0
1001;Unused Domestic Extraction - Primary Crops - Beans, green;Unused;kt;0
1002;Unused Domestic Extraction - Primary Crops - Broad beans, horse beans, dry;Unused;kt;0
1003;Unused Domestic Extraction - Primary Crops - Chick peas;Unused;kt;0
1004;Unused Domestic Extraction - Primary Crops - Cow peas, dry;Unused;kt;0
1005;Unused Domestic Extraction - Primary Crops - Peas, dry;Unused;kt;0
1006;Unused Domestic Extraction - Primary Crops - Pigeon peas;Unused;kt;0
1007;Unused Domestic Extraction - Primary Crops - String beans;Unused;kt;0
1008;Unused Domestic Extraction - Primary Crops - Coconuts;Unused;kt;0
1009;Unused Domestic Extraction - Primary Crops - Okra;Unused;kt;0
1010;Unused Domestic Extraction - Primary Crops - Onions;Unused;kt;0
1011;Unused Domestic Extraction - Primary Crops - Onions, dry;Unused;kt;0
1012;Unused Domestic Extraction - Primary Crops - Other melons;Unused;kt;0
1013;Unused Domestic Extraction - Primary Crops - Watermelons;Unused;kt;0
1014;Unused Domestic Extraction - Primary Crops - Bananas;Unused;kt;0
1015;Unused Domestic Extraction - Primary Crops - Cashewapple;Unused;kt;0
1016;Unused Domestic Extraction - Primary Crops - Cranberries;Unused;kt;0
1017;Unused Domestic Extraction - Primary Crops - Fruit Fresh Nes;Unused;kt;0
1018;Unused Domestic Extraction - Primary Crops - Fruit, tropical fresh nes;Unused;kt;0
1019;Unused Domestic Extraction - Primary Crops - Mangoes, mangosteens, guavas;Unused;kt;0
1020;Unused Domestic Extraction - Primary Crops - Papayas;Unused;kt;0
1021;Unused Domestic Extraction - Primary Crops - Plantains;Unused;kt;0
1022;Unused Domestic Extraction - Primary Crops - Arecanuts;Unused;kt;0
1023;Unused Domestic Extraction - Primary Crops - Brazil nuts, with shell;Unused;kt;0
1024;Unused Domestic Extraction - Primary Crops - Cashew nuts, with shell;Unused;kt;0
1025;Unused Domestic Extraction - Primary Crops - Kolanuts;Unused;kt;0
1026;Unused Domestic Extraction - Primary Crops - Nuts, nes;Unused;kt;0
1027;Unused Domestic Extraction - Primary Crops - Leguminous vegetables, nes;Unused;kt;0
1028;Unused Domestic Extraction - Primary Crops - Maize, green;Unused;kt;0
1029;Unused Domestic Extraction - Primary Crops - Pome fruit, nes;Unused;kt;0
1030;Unused Domestic Extraction - Primary Crops - Cassava leaves;Unused;kt;0
1031;Unused Domestic Extraction - Primary Crops - Groundnuts in Shell;Unused;kt;0
1032;Unused Domestic Extraction - Primary Crops - Hempseed;Unused;kt;0
1033;Unused Domestic Extraction - Primary Crops - Linseed;Unused;kt;0
1034;Unused Domestic Extraction - Primary Crops - Melonseed;Unused;kt;0
1035;Unused Domestic Extraction - Primary Crops - Mustard Seed;Unused;kt;0
1036;Unused Domestic Extraction - Primary Crops - Poppy Seed;Unused;kt;0
1037;Unused Domestic Extraction - Primary Crops - Rapeseed;Unused;kt;0
1038;Unused Domestic Extraction - Primary Crops - Safflower Seed;Unused;kt;0
1039;Unused Domestic Extraction - Primary Crops - Sesame Seed;Unused;kt;0
1040;Unused Domestic Extraction - Primary Crops - Soybeans;Unused;kt;0
1041;Unused Domestic Extraction - Primary Crops - Sunflower Seed;Unused;kt;0
1042;Unused Domestic Extraction - Primary Crops - Oilseeds nec;Unused;kt;0
1043;Unused Domestic Extraction - Primary Crops - Oil Palm Fruit;Unused;kt;0
1044;Unused Domestic Extraction - Primary Crops - Castor oil seed;Unused;kt;0
1045;Unused Domestic Extraction - Primary Crops - Karite Nuts;Unused;kt;0
1046;Unused Domestic Extraction - Primary Crops - Tung Nuts;Unused;kt;0
1047;Unused Domestic Extraction - Primary Crops - Jojoba Seeds;Unused;kt;0
1048;Unused Domestic Extraction - Primary Crops - Tallowtree Seeds;Unused;kt;0
1049;Unused Domestic Extraction - Primary Crops - Cottonseed;Unused;kt;0
1050;Unused Domestic Extraction - Primary Crops - Sugar Beets;Unused;kt;0
1051;Unused Domestic Extraction - Primary Crops - Sugar Cane;Unused;kt;0
1052;Unused Domestic Extraction - Primary Crops - Sugar Crops nes;Unused;kt;0
1053;Unused Domestic Extraction - Primary Crops - Cotton Lint;Unused;kt;0
1054;Unused Domestic Extraction - Primary Crops - Flax Fibre and Tow;Unused;kt;0
1055;Unused Domestic Extraction - Primary Crops - Hemp Fibre and Tow;Unused;kt;0
1056;Unused Domestic Extraction - Primary Crops - Abaca;Unused;kt;0
1057;Unused Domestic Extraction - Primary Crops - Agave Fibres nes;Unused;kt;0
1058;Unused Domestic Extraction - Primary Crops - Coir;Unused;kt;0
1059;Unused Domestic Extraction - Primary Crops - Fibre Crops nes;Unused;kt;0
1060;Unused Domestic Extraction - Primary Crops - Ramie;Unused;kt;0
1061;Unused Domestic Extraction - Primary Crops - Sisal;Unused;kt;0
1062;Unused Domestic Extraction - Primary Crops - Kapok Fibre;Unused;kt;0
1063;Unused Domestic Extraction - Primary Crops - Jute and Jute-like Fibres;Unused;kt;0
1064;Unused Domestic Extraction - Primary Crops - Other Bastfibres;Unused;kt;0
1065;Unused Domestic Extraction - Primary Crops - Anise, Badian, Fennel;Unused;kt;0
1066;Unused Domestic Extraction - Primary Crops - Chicory Roots;Unused;kt;0
1067;Unused Domestic Extraction - Primary Crops - Coffee, Green;Unused;kt;0
1068;Unused Domestic Extraction - Primary Crops - Hops;Unused;kt;0
1069;Unused Domestic Extraction - Primary Crops - Peppermint;Unused;kt;0
1070;Unused Domestic Extraction - Primary Crops - Pyrethrum, Dried Flowers;Unused;kt;0
1071;Unused Domestic Extraction - Primary Crops - Tea;Unused;kt;0
1072;Unused Domestic Extraction - Primary Crops - Spices nec;Unused;kt;0
1073;Unused Domestic Extraction - Primary Crops - Cocoa Beans;Unused;kt;0
1074;Unused Domestic Extraction - Primary Crops - Mate;Unused;kt;0
1075;Unused Domestic Extraction - Primary Crops - Tobacco Leaves;Unused;kt;0
1076;Unused Domestic Extraction - Primary Crops - Natural Rubber;Unused;kt;0
1077;Unused Domestic Extraction - Primary Crops - Cinnamon;Unused;kt;0
1078;Unused Domestic Extraction - Primary Crops - Cloves;Unused;kt;0
1079;Unused Domestic Extraction - Primary Crops - Ginger;Unused;kt;0
1080;Unused Domestic Extraction - Primary Crops - Nutmeg, mace and cardamoms;Unused;kt;0
1081;Unused Domestic Extraction - Primary Crops - Vanilla;Unused;kt;0
1082;Unused Domestic Extraction - Primary Crops - Pepper;Unused;kt;0
1083;Unused Domestic Extraction - Primary Crops - Chillies and peppers, dry;Unused;kt;0
1084;Unused Domestic Extraction - Primary Crops - Tea nes;Unused;kt;0
1085;Unused Domestic Extraction - Crop residues - Feed;Unused;kt;0
1086;Unused Domestic Extraction - Crop residues - Straw;Unused;kt;0
1087;Unused Domestic Extraction - Fishery - Aquatic plants;Unused;kt;0
1088;Unused Domestic Extraction - Fishery - Inland waters fish catch;Unused;kt;0
1089;Unused Domestic Extraction - Fishery - Marine fish catch;Unused;kt;0
1090;Unused Domestic Extraction - Fishery - Other (e.g. Aquatic mammals);Unused;kt;0
1091;Unused Domestic Extraction - Fodder crops - Alfalfa for Forage and Silage;Unused;kt;0
1092;Unused Domestic Extraction - Fodder crops - Beets for Fodder;Unused;kt;0
1093;Unused Domestic Extraction - Fodder crops - Cabbage for Fodder;Unused;kt;0
1094;Unused Domestic Extraction - Fodder crops - Carrots for Fodder;Unused;kt;0
1095;Unused Domestic Extraction - Fodder crops - Clover for Forage and Silage;Unused;kt;0
1096;Unused Domestic Extraction - Fodder crops - Forage Products nec;Unused;kt;0
1097;Unused Domestic Extraction - Fodder crops - Grasses nec for Forage and Silage;Unused;kt;0
1098;Unused Domestic Extraction - Fodder crops - Green Oilseeds for Fodder;Unused;kt;0
1099;Unused Domestic Extraction - Fodder crops - Leguminous nec for forage and Silage;Unused;kt;0
1100;Unused Domestic Extraction - Fodder crops - Maize for Forage and Silage;Unused;kt;0
1101;Unused Domestic Extraction - Fodder crops - Other grasses;Unused;kt;0
1102;Unused Domestic Extraction - Fodder crops - Rye Grass, Forage and Silage;Unused;kt;0
1103;Unused Domestic Extraction - Fodder crops - Sorghum for Forage and Silage;Unused;kt;0
1104;Unused Domestic Extraction - Fodder crops - Swedes for Fodder;Unused;kt;0
1105;Unused Domestic Extraction - Fodder crops - Turnips for Fodder;Unused;kt;0
1106;Unused Domestic Extraction - Fodder crops - Vegetables and Roots, Fodder;Unused;kt;0
1107;Unused Domestic Extraction - Forestry - Coniferous wood - Industrial roundwood;Unused;kt;0
1108;Unused Domestic Extraction - Forestry - Coniferous wood - Wood fuel;Unused;kt;0
1109;Unused Domestic Extraction - Forestry - Kapok Fruit;Unused;kt;0
1110;Unused Domestic Extraction - Forestry - Natural Gums;Unused;kt;0
1111;Unused Domestic Extraction - Forestry - Non-coniferous wood - Industrial roundwood;Unused;kt;0
1112;Unused Domestic Extraction - Forestry - Non-coniferous wood - Wood fuel;Unused;kt;0
1113;Unused Domestic Extraction - Forestry - Raw materials other than wood;Unused;kt;0
1114;Unused Domestic Extraction - Fossil Fuels - Anthracite;Unused;kt;0
1115;Unused Domestic Extraction - Fossil Fuels - Coking coal;Unused;kt;0
1116;Unused Domestic Extraction - Fossil Fuels - Crude oil;Unused;kt;0
1117;Unused Domestic Extraction - Fossil Fuels - Lignite/brown coal;Unused;kt;0
1118;Unused Domestic Extraction - Fossil Fuels - Natural gas;Unused;kt;0
1119;Unused Domestic Extraction - Fossil Fuels - Natural gas liquids;Unused;kt;0
1120;Unused Domestic Extraction - Fossil Fuels - Other bituminous coal;Unused;kt;0
1121;Unused Domestic Extraction - Fossil Fuels - Peat;Unused;kt;0
1122;Unused Domestic Extraction - Fossil Fuels - Sub-bituminous coal;Unused;kt;0
1123;Unused Domestic Extraction - Grazing;Unused;kt;0
1124;Unused Domestic Extraction - Metal Ores - Bauxite and aluminium ores;Unused;kt;0
1125;Unused Domestic Extraction - Metal Ores - Copper ores;Unused;kt;0
1126;Unused Domestic Extraction - Metal Ores - Gold ores;Unused;kt;0
1127;Unused Domestic Extraction - Metal Ores - Iron ores;Unused;kt;0
1128;Unused Domestic Extraction - Metal Ores - Lead ores;Unused;kt;0
1129;Unused Domestic Extraction - Metal Ores - Nickel ores;Unused;kt;0
1130;Unused Domestic Extraction - Metal Ores - Other non-ferrous metal ores;Unused;kt;0
1131;Unused Domestic Extraction - Metal Ores - PGM ores;Unused;kt;0
1132;Unused Domestic Extraction - Metal Ores - Silver ores;Unused;kt;0
1133;Unused Domestic Extraction - Metal Ores - Tin ores;Unused;kt;0
1134;Unused Domestic Extraction - Metal Ores - Uranium and thorium ores;Unused;kt;0
1135;Unused Domestic Extraction - Metal Ores - Zinc ores;Unused;kt;0
1136;Unused Domestic Extraction - Non-Metallic Minerals - Building stones;Unused;kt;0
1137;Unused Domestic Extraction - Non-Metallic Minerals - Chemical and fertilizer minerals;Unused;kt;0
1138;Unused Domestic Extraction - Non-Metallic Minerals - Clays and kaolin;Unused;kt;0
1139;Unused Domestic Extraction - Non-Metallic Minerals - Gravel and sand;Unused;kt;0
1140;Unused Domestic Extraction - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite;Unused;kt;0
1141;Unused Domestic Extraction - Non-Metallic Minerals - Other minerals;Unused;kt;0
1142;Unused Domestic Extraction - Non-Metallic Minerals - Salt;Unused;kt;0
1143;Unused Domestic Extraction - Non-Metallic Minerals - Slate;Unused;kt;0
1144;Unused Domestic Extraction - Primary Crops - Kapokseed in Shell;Unused;kt;0
1145;Water Consumption Green - Agriculture - rice;Green.consumption;Mm3;0
1146;Water Consumption Green - Agriculture - wheat;Green.consumption;Mm3;0
1147;Water Consumption Green - Agriculture - other cereals;Green.consumption;Mm3;0
1148;Water Consumption Green - Agriculture - roots and tubers;Green.consumption;Mm3;0
1149;Water Consumption Green - Agriculture - sugar crops;Green.consumption;Mm3;0
1150;Water Consumption Green - Agriculture - pulses;Green.consumption;Mm3;0
1151;Water Consumption Green - Agriculture - nuts;Green.consumption;Mm3;0
1152;Water Consumption Green - Agriculture - oil crops;Green.consumption;Mm3;0
1153;Water Consumption Green - Agriculture - vegetables;Green.consumption;Mm3;0
1154;Water Consumption Green - Agriculture - fruits;Green.consumption;Mm3;0
1155;Water Consumption Green - Agriculture - fibres;Green.consumption;Mm3;0
1156;Water Consumption Green - Agriculture - other crops;Green.consumption;Mm3;0
1157;Water Consumption Green - Agriculture - fodder crops;Green.consumption;Mm3;0
1158;Water Consumption Blue - Agriculture - rice;Blue.consumption;Mm3;0
1159;Water Consumption Blue - Agriculture - wheat;Blue.consumption;Mm3;0
1160;Water Consumption Blue - Agriculture - other cereals;Blue.consumption;Mm3;0
1161;Water Consumption Blue - Agriculture - roots and tubers;Blue.consumption;Mm3;0
1162;Water Consumption Blue - Agriculture - sugar crops;Blue.consumption;Mm3;0
1163;Water Consumption Blue - Agriculture - pulses;Blue.consumption;Mm3;0
1164;Water Consumption Blue - Agriculture - nuts;Blue.consumption;Mm3;0
1165;Water Consumption Blue - Agriculture - oil crops;Blue.consumption;Mm3;0
1166;Water Consumption Blue - Agriculture - vegetables;Blue.consumption;Mm3;0
1167;Water Consumption Blue - Agriculture - fruits;Blue.consumption;Mm3;0
1168;Water Consumption Blue - Agriculture - fibres;Blue.consumption;Mm3;0
1169;Water Consumption Blue - Agriculture - other crops;Blue.consumption;Mm3;0
1170;Water Consumption Blue - Agriculture - fodder crops;Blue.consumption;Mm3;0
1171;Water Consumption Blue - Livestock - dairy cattle;Blue.consumption;Mm3;0
1172;Water Consumption Blue - Livestock - nondairy cattle;Blue.consumption;Mm3;0
1173;Water Consumption Blue - Livestock - pigs;Blue.consumption;Mm3;0
1174;Water Consumption Blue - Livestock - sheep;Blue.consumption;Mm3;0
1175;Water Consumption Blue - Livestock - goats;Blue.consumption;Mm3;0
1176;Water Consumption Blue - Livestock - buffaloes;Blue.consumption;Mm3;0
1177;Water Consumption Blue - Livestock - camels;Blue.consumption;Mm3;0
1178;Water Consumption Blue - Livestock - horses;Blue.consumption;Mm3;0
1179;Water Consumption Blue - Livestock - chicken;Blue.consumption;Mm3;0
1180;Water Consumption Blue - Livestock - turkeys;Blue.consumption;Mm3;0
1181;Water Consumption Blue - Livestock - ducks;Blue.consumption;Mm3;0
1182;Water Consumption Blue - Livestock - geese;Blue.consumption;Mm3;0
1183;Water Consumption Blue - Manufacturing - Products of meat cattle;Blue.consumption;Mm3;0
1184;Water Consumption Blue - Manufacturing - Products of meat pigs;Blue.consumption;Mm3;0
1185;Water Consumption Blue - Manufacturing - Products of meat poultry;Blue.consumption;Mm3;0
1186;Water Consumption Blue - Manufacturing - Meat products nec;Blue.consumption;Mm3;0
1187;Water Consumption Blue - Manufacturing - products of Vegetable oils and fats;Blue.consumption;Mm3;0
1188;Water Consumption Blue - Manufacturing - Dairy products;Blue.consumption;Mm3;0
1189;Water Consumption Blue - Manufacturing - Processed rice;Blue.consumption;Mm3;0
1190;Water Consumption Blue - Manufacturing - Sugar;Blue.consumption;Mm3;0
1191;Water Consumption Blue - Manufacturing - Food products nec;Blue.consumption;Mm3;0
1192;Water Consumption Blue - Manufacturing - Beverages;Blue.consumption;Mm3;0
1193;Water Consumption Blue - Manufacturing - Fish products;Blue.consumption;Mm3;0
1194;Water Consumption Blue - Manufacturing - Tobacco products (16);Blue.consumption;Mm3;0
1195;Water Consumption Blue - Manufacturing - Textiles (17);Blue.consumption;Mm3;0
1196;"Water Consumption Blue - Manufacturing - Wearing apparel; furs (18)";Blue.consumption;Mm3;0
1197;Water Consumption Blue - Manufacturing - Leather and leather products (19);Blue.consumption;Mm3;0
1198;Water Consumption Blue - Manufacturing - Pulp;Blue.consumption;Mm3;0
1199;Water Consumption Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp;Blue.consumption;Mm3;0
1200;Water Consumption Blue - Manufacturing - Paper and paper products;Blue.consumption;Mm3;0
1201;Water Consumption Blue - Manufacturing - Printed matter and recorded media (22);Blue.consumption;Mm3;0
1202;Water Consumption Blue - Manufacturing - Plastics, basic;Blue.consumption;Mm3;0
1203;Water Consumption Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic;Blue.consumption;Mm3;0
1204;Water Consumption Blue - Manufacturing - N-fertiliser;Blue.consumption;Mm3;0
1205;Water Consumption Blue - Manufacturing - P- and other fertiliser;Blue.consumption;Mm3;0
1206;Water Consumption Blue - Manufacturing - Chemicals nec;Blue.consumption;Mm3;0
1207;Water Consumption Blue - Manufacturing - Rubber and plastic products (25);Blue.consumption;Mm3;0
1208;Water Consumption Blue - Manufacturing - Glass and glass products;Blue.consumption;Mm3;0
1209;Water Consumption Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass;Blue.consumption;Mm3;0
1210;Water Consumption Blue - Manufacturing - Ceramic goods;Blue.consumption;Mm3;0
1211;Water Consumption Blue - Manufacturing - Bricks, tiles and construction products, in baked clay;Blue.consumption;Mm3;0
1212;Water Consumption Blue - Manufacturing - Cement, lime and plaster;Blue.consumption;Mm3;0
1213;Water Consumption Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker;Blue.consumption;Mm3;0
1214;Water Consumption Blue - Manufacturing - Other non-metallic mineral products;Blue.consumption;Mm3;0
1215;Water Consumption Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof;Blue.consumption;Mm3;0
1216;Water Consumption Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel;Blue.consumption;Mm3;0
1217;Water Consumption Blue - Manufacturing - Precious metals;Blue.consumption;Mm3;0
1218;Water Consumption Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals;Blue.consumption;Mm3;0
1219;Water Consumption Blue - Manufacturing - Aluminium and aluminium products;Blue.consumption;Mm3;0
1220;Water Consumption Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium;Blue.consumption;Mm3;0
1221;Water Consumption Blue - Manufacturing - Lead, zinc and tin and products thereof;Blue.consumption;Mm3;0
1222;Water Consumption Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead;Blue.consumption;Mm3;0
1223;Water Consumption Blue - Manufacturing - Copper products;Blue.consumption;Mm3;0
1224;Water Consumption Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper;Blue.consumption;Mm3;0
1225;Water Consumption Blue - Manufacturing - Other non-ferrous metal products;Blue.consumption;Mm3;0
1226;Water Consumption Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals;Blue.consumption;Mm3;0
1227;Water Consumption Blue - Manufacturing - Fabricated metal products, except machinery and equipment (28);Blue.consumption;Mm3;0
1228;Water Consumption Blue - Manufacturing - Machinery and equipment n.e.c. (29);Blue.consumption;Mm3;0
1229;Water Consumption Blue - Manufacturing - Office machinery and computers (30);Blue.consumption;Mm3;0
1230;Water Consumption Blue - Manufacturing - Electrical machinery and apparatus n.e.c. (31);Blue.consumption;Mm3;0
1231;Water Consumption Blue - Manufacturing - Radio, television and communication equipment and apparatus (32);Blue.consumption;Mm3;0
1232;Water Consumption Blue - Manufacturing - Medical, precision and optical instruments, watches and clocks (33);Blue.consumption;Mm3;0
1233;Water Consumption Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34);Blue.consumption;Mm3;0
1234;Water Consumption Blue - Manufacturing - Other transport equipment (35);Blue.consumption;Mm3;0
1235;"Water Consumption Blue - Manufacturing - Furniture; other manufactured goods n.e.c. (36)";Blue.consumption;Mm3;0
1236;Water Consumption Blue - Electricity - tower - Electricity by coal;Blue.consumption;Mm3;0
1237;Water Consumption Blue - Electricity - tower - Electricity by gas;Blue.consumption;Mm3;0
1238;Water Consumption Blue - Electricity - tower - Electricity by nuclear;Blue.consumption;Mm3;0
1239;Water Consumption Blue - Electricity - tower - Electricity by hydro;Blue.consumption;Mm3;0
1240;Water Consumption Blue - Electricity - tower - Electricity by wind;Blue.consumption;Mm3;0
1241;Water Consumption Blue - Electricity - tower - Electricity by petroleum and other oil derivatives;Blue.consumption;Mm3;0
1242;Water Consumption Blue - Electricity - tower - Electricity by biomass and waste;Blue.consumption;Mm3;0
1243;Water Consumption Blue - Electricity - tower - Electricity by solar photovoltaic;Blue.consumption;Mm3;0
1244;Water Consumption Blue - Electricity - tower - Electricity by solar thermal;Blue.consumption;Mm3;0
1245;Water Consumption Blue - Electricity - tower - Electricity by tide, wave, ocean;Blue.consumption;Mm3;0
1246;Water Consumption Blue - Electricity - tower - Electricity by Geothermal;Blue.consumption;Mm3;0
1247;Water Consumption Blue - Electricity - tower - Electricity nec;Blue.consumption;Mm3;0
1248;Water Consumption Blue - Electricity - once-through - Electricity by coal;Blue.consumption;Mm3;0
1249;Water Consumption Blue - Electricity - once-through - Electricity by gas;Blue.consumption;Mm3;0
1250;Water Consumption Blue - Electricity - once-through - Electricity by nuclear;Blue.consumption;Mm3;0
1251;Water Consumption Blue - Electricity - once-through - Electricity by hydro;Blue.consumption;Mm3;0
1252;Water Consumption Blue - Electricity - once-through - Electricity by wind;Blue.consumption;Mm3;0
1253;Water Consumption Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives;Blue.consumption;Mm3;0
1254;Water Consumption Blue - Electricity - once-through - Electricity by biomass and waste;Blue.consumption;Mm3;0
1255;Water Consumption Blue - Electricity - once-through - Electricity by solar photovoltaic;Blue.consumption;Mm3;0
1256;Water Consumption Blue - Electricity - once-through - Electricity by solar thermal;Blue.consumption;Mm3;0
1257;Water Consumption Blue - Electricity - once-through - Electricity by tide, wave, ocean;Blue.consumption;Mm3;0
1258;Water Consumption Blue - Electricity - once-through - Electricity by Geothermal;Blue.consumption;Mm3;0
1259;Water Consumption Blue - Electricity - once-through - Electricity nec;Blue.consumption;Mm3;0
1260;Water Consumption Blue - Domestic - domestic Water Consumption Blue;Blue.consumption;Mm3;0
1261;Water Withdrawal Blue - Manufacturing - Products of meat cattle;Blue.withdrawal;Mm3;0
1262;Water Withdrawal Blue - Manufacturing - Products of meat pigs;Blue.withdrawal;Mm3;0
1263;Water Withdrawal Blue - Manufacturing - Products of meat poultry;Blue.withdrawal;Mm3;0
1264;Water Withdrawal Blue - Manufacturing - Meat products nec;Blue.withdrawal;Mm3;0
1265;Water Withdrawal Blue - Manufacturing - products of Vegetable oils and fats;Blue.withdrawal;Mm3;0
1266;Water Withdrawal Blue - Manufacturing - Dairy products;Blue.withdrawal;Mm3;0
1267;Water Withdrawal Blue - Manufacturing - Processed rice;Blue.withdrawal;Mm3;0
1268;Water Withdrawal Blue - Manufacturing - Sugar;Blue.withdrawal;Mm3;0
1269;Water Withdrawal Blue - Manufacturing - Food products nec;Blue.withdrawal;Mm3;0
1270;Water Withdrawal Blue - Manufacturing - Beverages;Blue.withdrawal;Mm3;0
1271;Water Withdrawal Blue - Manufacturing - Fish products;Blue.withdrawal;Mm3;0
1272;Water Withdrawal Blue - Manufacturing - Tobacco products (16);Blue.withdrawal;Mm3;0
1273;Water Withdrawal Blue - Manufacturing - Textiles (17);Blue.withdrawal;Mm3;0
1274;"Water Withdrawal Blue - Manufacturing - Wearing apparel; furs (18)";Blue.withdrawal;Mm3;0
1275;Water Withdrawal Blue - Manufacturing - Leather and leather products (19);Blue.withdrawal;Mm3;0
1276;Water Withdrawal Blue - Manufacturing - Pulp;Blue.withdrawal;Mm3;0
1277;Water Withdrawal Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp;Blue.withdrawal;Mm3;0
1278;Water Withdrawal Blue - Manufacturing - Paper and paper products;Blue.withdrawal;Mm3;0
1279;Water Withdrawal Blue - Manufacturing - Printed matter and recorded media (22);Blue.withdrawal;Mm3;0
1280;Water Withdrawal Blue - Manufacturing - Plastics, basic;Blue.withdrawal;Mm3;0
1281;Water Withdrawal Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic;Blue.withdrawal;Mm3;0
1282;Water Withdrawal Blue - Manufacturing - N-fertiliser;Blue.withdrawal;Mm3;0
1283;Water Withdrawal Blue - Manufacturing - P- and other fertiliser;Blue.withdrawal;Mm3;0
1284;Water Withdrawal Blue - Manufacturing - Chemicals nec;Blue.withdrawal;Mm3;0
1285;Water Withdrawal Blue - Manufacturing - Rubber and plastic products (25);Blue.withdrawal;Mm3;0
1286;Water Withdrawal Blue - Manufacturing - Glass and glass products;Blue.withdrawal;Mm3;0
1287;Water Withdrawal Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass;Blue.withdrawal;Mm3;0
1288;Water Withdrawal Blue - Manufacturing - Ceramic goods;Blue.withdrawal;Mm3;0
1289;Water Withdrawal Blue - Manufacturing - Bricks, tiles and construction products, in baked clay;Blue.withdrawal;Mm3;0
1290;Water Withdrawal Blue - Manufacturing - Cement, lime and plaster;Blue.withdrawal;Mm3;0
1291;Water Withdrawal Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker;Blue.withdrawal;Mm3;0
1292;Water Withdrawal Blue - Manufacturing - Other non-metallic mineral products;Blue.withdrawal;Mm3;0
1293;Water Withdrawal Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof;Blue.withdrawal;Mm3;0
1294;Water Withdrawal Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel;Blue.withdrawal;Mm3;0
1295;Water Withdrawal Blue - Manufacturing - Precious metals;Blue.withdrawal;Mm3;0
1296;Water Withdrawal Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals;Blue.withdrawal;Mm3;0
1297;Water Withdrawal Blue - Manufacturing - Aluminium and aluminium products;Blue.withdrawal;Mm3;0
1298;Water Withdrawal Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium;Blue.withdrawal;Mm3;0
1299;Water Withdrawal Blue - Manufacturing - Lead, zinc and tin and products thereof;Blue.withdrawal;Mm3;0
1300;Water Withdrawal Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead;Blue.withdrawal;Mm3;0
1301;Water Withdrawal Blue - Manufacturing - Copper products;Blue.withdrawal;Mm3;0
1302;Water Withdrawal Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper;Blue.withdrawal;Mm3;0
1303;Water Withdrawal Blue - Manufacturing - Other non-ferrous metal products;Blue.withdrawal;Mm3;0
1304;Water Withdrawal Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals;Blue.withdrawal;Mm3;0
